Model,Fuel Type,Price,Description,Kilometers Driven,Model Year,Brand,specific_model
2011 Hyundai Tucson,Automatic,"NRP4,650,000.00",,,,,Tucson
2007 Hyundai Santro Era,Automatic,"NRP1,099,000.00",,,,,Santro Era
2014 Hyundai Verna,Automatic,"NRP2,799,000.00",,,,,Verna
2014 Hyundai I10,Automatic,"NRP1,945,000.00",,,,,I10
2018 Hyundai I10,Automatic,"NRP2,625,000.00",,,,,I10
2015 Hyundai I10,Automatic,"NRP2,125,000.00",,,,,I10
2014 Hyundai Xcent Sx,Automatic,"NRP2,200,000.00",,,,,Xcent Sx
2010 Hyundai I20,Automatic,"NRP1,615,000.00",,,,,I20
2016 Hyundai Xcent Sx,Automatic,"NRP2,199,000.00",,,,,Xcent Sx
2015 Hyundai Creta Sx,Automatic,"NRP3,800,000.00",,,,,Creta Sx
2016 Hyundai Xcent Sx,Automatic,"NRP2,199,000.00",,,,,Xcent Sx
2015 Hyundai Creta Sx,Automatic,"NRP3,800,000.00",,,,,Creta Sx
2016 Hyundai Creta Sx,Automatic,"NRP4,450,000.00",,,,,Creta Sx
2015 Hyundai I20,Automatic,"NRP2,399,000.00",,,,,I20
2008 Hyundai I10,Automatic,"NRP1,299,000.00",,,,,I10
2019 Hyundai Creta Sx,Automatic,"NRP5,500,000.00",,,,,Creta Sx
2016 Hyundai I20,Automatic,"NRP2,625,000.00",,,,,I20
2014 Hyundai Verna,Automatic,"NRP2,699,000.00",,,,,Verna
2015 Hyundai I10,Automatic,"NRP2,075,000.00",,,,,I10
2008 Hyundai Tucson,Automatic,"NRP2,399,000.00",,,,,Tucson
2016 Hyundai I10,Automatic,"NRP2,450,000.00",,,,,I10
2013 Hyundai Eon Era Plus,Automatic,"NRP1,275,000.00",,,,,Eon Era Plus
2017 Hyundai Verna,Automatic,"NRP3,850,000.00",,,,,Verna
2009 Hyundai Getz,Automatic,"NRP1,150,000.00",,,,,Getz
2017 Hyundai Xcent Sx,Automatic,"NRP2,475,000.00",,,,,Xcent Sx
2010 Hyundai I20,Automatic,"NRP1,675,000.00",,,,,I20
2015 Hyundai Grand,Automatic,"NRP2,075,000.00",,,,,Grand
2019 Hyundai Santro Sportz,Automatic,"NRP2,400,000.00",,,,,Santro Sportz
2019 Hyundai Creta Sx,Automatic,"NRP4,900,000.00",,,,,Creta Sx
2019 Hyundai Kona 2019 Long Range,Automatic,"NRP4,650,000.00",,,,,Kona Long Range
2008 Hyundai Accent,Automatic,"NRP1,275,000.00",,,,,Accent
2013 Hyundai Verna,Automatic,"NRP2,450,000.00",,,,,Verna
2015 Hyundai I10,Automatic,"NRP2,325,000.00",,,,,I10
2016 Hyundai Creta Sx,Automatic,"NRP4,600,000.00",,,,,Creta Sx
2015 Hyundai Verna,Automatic,"NRP2,725,000.00",,,,,Verna
2011 Hyundai Tucson,Automatic,"NRP3,650,000.00",,,,,Tucson
2016 Hyundai Creta E,Automatic,"NRP3,850,000.00",,,,,Creta E
2015 Hyundai Verna,Automatic,"NRP2,725,000.00",,,,,Verna
2011 Hyundai Tucson,Automatic,"NRP3,650,000.00",,,,,Tucson
2016 Hyundai Creta E,Automatic,"NRP3,850,000.00",,,,,Creta E
2013 Hyundai Eon Era Plus,Automatic,"NRP1,275,000.00",,,,,Eon Era Plus
2009 Hyundai Tucson,Automatic,"NRP2,450,000.00",,,,,Tucson
2010 Hyundai I10,Automatic,"NRP1,650,000.00",,,,,I10
2006 Hyundai Getz,Automatic,"NRP925,000.00",,,,,Getz
2019 Hyundai Verna,Automatic,"NRP3,350,000.00",,,,,Verna
2018 Hyundai Creta Sx,Automatic,"NRP4,950,000.00",,,,,Creta Sx
2016 Hyundai I10,Automatic,"NRP2,150,000.00",,,,,I10
2013 Hyundai I10,Automatic,"NRP2,150,000.00",,,,,I10
2015 Hyundai Eon Magna,Automatic,"NRP1,475,000.00",,,,,Eon Magna
2015 Hyundai I10,Automatic,"NRP2,325,000.00",,,,,I10
2015 Hyundai Eon Era Plus,Automatic,"NRP1,425,000.00",,,,,Eon Era Plus
2012 Hyundai Eon Era Plus,Automatic,"NRP1,175,000.00",,,,,Eon Era Plus
2015 Hyundai I10,Automatic,"NRP2,150,000.00",,,,,I10
2014 Hyundai I10,Automatic,"NRP2,200,000.00",,,,,I10
2016 Hyundai Creta Sx,Automatic,"NRP3,850,000.00",,,,,Creta Sx
2004 Hyundai Getz,Automatic,"NRP725,000.00",,,,,Getz
2017 Hyundai Creta Sx,Automatic,"NRP4,300,000.00",,,,,Creta Sx
2016 Hyundai I10,Automatic,"NRP2,250,000.00",,,,,I10
2016 Hyundai Creta Sx,Automatic,"NRP4,525,000.00",,,,,Creta Sx
2013 Hyundai I10,Automatic,"NRP2,115,000.00",,,,,I10
2014 Hyundai I10,Automatic,"NRP1,945,000.00",,,,,I10
2017 Hyundai I20,Automatic,"NRP2,925,000.00",,,,,I20
2018 Hyundai I10,Automatic,"NRP2,625,000.00",,,,,I10
2015 Hyundai I10,Automatic,"NRP2,125,000.00",,,,,I10
2016 Hyundai Xcent Sx,Automatic,"NRP2,200,000.00",,,,,Xcent Sx
2010 Hyundai I20,Automatic,"NRP1,615,000.00",,,,,I20
2017 Hyundai I20,Automatic,"NRP2,925,000.00",,,,,I20
2016 Hyundai I10,Automatic,"NRP2,625,000.00",,,,,I10
2015 Hyundai I10,Automatic,"NRP2,125,000.00",,,,,I10
2014 Hyundai Xcent Sx,Automatic,"NRP2,200,000.00",,,,,Xcent Sx
2010 Hyundai I20,Automatic,"NRP1,615,000.00",,,,,I20
2016 Hyundai Accent,Automatic,"NRP4,300,000.00",,,,,Accent
2016 Hyundai Grand,Automatic,"NRP2,250,000.00",,,,,Grand
2016 Hyundai Creta Sx,Automatic,"NRP4,525,000.00",,,,,Creta Sx
2013 Hyundai Grand,Automatic,"NRP2,115,000.00",,,,,Grand
2014 Hyundai Grand,Automatic,"NRP1,945,000.00",,,,,Grand
2017 Hyundai Accent,Automatic,"NRP2,925,000.00",,,,,Accent
2018 Hyundai Grand,Automatic,"NRP2,625,000.00",,,,,Grand
2018 Hyundai I10,Automatic,"NRP2,625,000.00",,,,,I10
2015 Hyundai Grand,Automatic,"NRP2,125,000.00",,,,,Grand
2014 Hyundai Xcent Sx,Automatic,"NRP2,200,000.00",,,,,Xcent Sx
2010 Hyundai I20,Automatic,"NRP1,615,000.00",,,,,I20
2016 Hyundai Xcent Sx,Automatic,"NRP2,199,000.00",,,,,Xcent Sx
2015 Hyundai Creta Sx,Automatic,"NRP3,800,000.00",,,,,Creta Sx
2016 Hyundai Creta Sx,Automatic,"NRP4,450,000.00",,,,,Creta Sx
2015 Hyundai I20,Automatic,"NRP2,399,000.00",,,,,I20
2008 Hyundai I10,Automatic,"NRP1,299,000.00",,,,,I10
2016 Hyundai Creta Sx,Automatic,"NRP5,500,000.00",,,,,Creta Sx
2016 Hyundai I20,Automatic,"NRP2,625,000.00",,,,,I20
2014 Hyundai Verna,Automatic,"NRP2,699,000.00",,,,,Verna
2015 Hyundai Grand,Automatic,"NRP2,075,000.00",,,,,Grand
2008 Hyundai Tucson,Automatic,"NRP2,399,000.00",,,,,Tucson
2015 Toyota Etios,Automatic,"NRP2,399,000.00",,,,,Etios
2002 Nissan X Trail,Automatic,"NRP1,999,000.00",,,,,X Trail
2017 Nissan Micra,Automatic,"NRP2,199,000.00",,,,,Micra
2008 Nissan Sunny,Automatic,"NRP1,525,000.00",,,,,Sunny
2008 Nissan Sunny,Automatic,"NRP1,525,000.00",,,,,Sunny
2004 Nissan Super Saloon,Automatic,"NRP1,299,000.00",,,,,Super Saloon
2021 Nissan Magnite Xe,Automatic,"NRP4,250,000.00",,,,,Magnite Xe
2018 Skoda Rapid,Automatic,"NRP3,550,000.00",,,,,Rapid
2016 Chevrolet Aveo,Automatic,"NRP1,025,000.00",,,,,Aveo
2009 Chevrolet Spark,Automatic,"NRP799,000.00",,,,,Spark
2014 Skoda Rapid,Automatic,"NRP2,299,000.00",,,,,Rapid
2015 Skoda Rapid,Automatic,"NRP2,825,000.00",,,,,Rapid
2018 Skoda Rapid,Automatic,"NRP3,550,000.00",,,,,Rapid
2020 Skoda Rapid,Automatic,"NRP3,099,000.00",,,,,Rapid
2020 Skoda Rapid,Automatic,"NRP3,090,000.00",,,,,Rapid
2014 Skoda Rapid,Automatic,"NRP2,150,000.00",,,,,Rapid
2009 Skoda Fabia,Automatic,"NRP1,400,000.00",,,,,Fabia
2011 Skoda Laura,Automatic,"NRP2,650,000.00",,,,,Laura
2020 Skoda Rapid,Automatic,"NRP2,750,000.00",,,,,Rapid
2016 Skoda Rapid,Automatic,"NRP2,250,000.00",,,,,Rapid
2022 Skoda Kushaq 10 Tsi Ambition,Automatic,"NRP6,190,000.00",,,,,Kushaq 10 Tsi Ambition
2012 Skoda Fabia,Automatic,"NRP1,425,000.00",,,,,Fabia
2020 Skoda Rapid,Automatic,"NRP2,425,000.00",,,,,Rapid
2015 Skoda Rapid,Automatic,"NRP2,099,000.00",,,,,Rapid
2015 Suzuki Swift,Automatic,"NRP2,100,000.00",,,,,Swift
2014 Suzuki Swift,Automatic,"NRP1,975,000.00",,,,,Swift
2016 Suzuki Maruti Suzuki Baleno,Automatic,"NRP2,250,000.00",,,,,Baleno
2014 Suzuki Swift,Automatic,"NRP2,190,000.00",,,,,Swift
2008 Suzuki Swift,Automatic,"NRP1,275,000.00",,,,,Swift
2016 Suzuki Maruti Suzuki Baleno,Automatic,"NRP2,150,000.00",,,,,Baleno
2011 Tata Tiago,Automatic,"NRP2,350,000.00",,,,,Tiago
2010 Daihatsu Terios,Automatic,"NRP3,400,000.00",,,,,Daihatsu Terios
2007 Daihatsu Sirion,Automatic,"NRP850,000.00",,,,,Daihatsu Sirion
2008 Daihatsu Terios,Automatic,"NRP2,950,000.00",,,,,Daihatsu Terios
