Model,Fuel Type,Price,Description,Kilometers Driven,Model Year,Brand,Year
Hyundai Accent 2008 Single Owner Low Km Original Paint.,,"NRs 1,275,000.00","Single owner-HYUNDAI ACCENT 2008 Family Sedan, Full option, genuine km, Original Paint, in immaculate condition. Fully Service History and newly polished. Excellent re-sell market value. […]",,,,2008
Hyundai Kona EV (100 KW) 2019 with only 5000 Km,,"NRs 4,650,000.00","Stylishly put together inside and out, the Hyundai Kona is a strong player in the competitive compact SUV electric market. This electric vehicle feels light […]",,,,2019
Hyundai Creta SX+ 2019 with only 3000 Km.,,"NRs 4,900,000.00","Brand New condition Hyundai’s flagship The Creta, Sx Plus 2019 with only 3000 KM.  Comes with Airbags, ABs, Audio mounted controls, Alloy wheels, Navigation(India only), […]",,,,2019
Honda City VXMT 2014 with Sunroof,,"NRs 2,950,000.00","HONDA CITY 2014 SUNROOF VXMT(Fully Loaded) Single owner Honda City VXMT 2014, fully Loaded with Sunroof, Cruise ctrl, and many more.. Top trim model loaded with: Keyless […]",,,,2014
Single Owner SKODA Rapid Ambition 2014 Full Service History,,"NRs 2,150,000.00","Single Owner SKODA Rapid(VOLKSWAGEN GROUP COMPANY) 2014 FULL OPTION. Comes with company service records. One Quality drive you truly will enjoy, in every corners,sharp bends. […]",,,,2014
Jeep Compass Limited Plus 4×4 Diesel with with Panoramic Sun-Roof only 12000 Km,,"NRs 9,500,000.00",Jeep Compass Limited Plus 4×4 2.0L MultiJet Turbo Diesel with Panoramic Sun-Roof is up for SALE. With only 12000 Km done till date. Immaculate inside/out. […],,,,0
Maruti Suzuki Swift ZXI 2013,,"NRs 2,050,000.00","Suzuki Swift ZXI 2013, Model in immaculate condition. Low Run quality vehicle not to miss out on. Option includes Steering Ctrls, Fog lamps, ZXI Alloys. […]",,,,2013
Ford Ecosport Titanium 2018 Single Owner,,"NRs 3,250,000.00","BRAND NEW CONDITION FORD ECOSPORT 2018 FULL OPTION(Titanium) with Touch screen display, Keyless Entry, Push Start. In near Brand new condition. Minimal running of only […]",,,,2018
Hyundai Santro Sportz 2019 Single Owner 16000 KM,,"NRs 2,400,000.00",Single Owner Hyundai Santro Sportz 2019 in much looked after condition. Have done only 16000 Km (Full-Service History) Quality and inspection fully carried out. Free […],,,,2019
Volkswagen Vento TDI 2014 Highline Single Hand,,"NRs 2,200,000.00","Luxurious German quality, Excellent condition Volkswagen Vento Highline TDI (TopModel) 2014 in super immaculate condition. Free from accidents and any issues, newly polished and condition […]",,,,2014
Hyundai Grand,,"NRs 2,075,000.00","Hyundai Grand i10 Magna Single Owner2015 Free from accidents and problems, in immaculate condition. A Much looked after vehicle by its previous owners. * Quality […]",,,,0
Hyundai i20 Asta 2010 Single Owner,,"NRs 1,675,000.00","Single Owner, Excellent condition Hyundai i20 ASTA 2010 free from scratches and problems. Newly polished and touched up to remove all scratches. Quality compared to […]",,,,2010
2016 DATSUN REDI GO 800cc in Excellent condition,,"NRs 1,250,000.00","Nissan Datsun Redi-go 2016 free from accidents and problems. Economical cheap best in City Drive class. Ideal first-time buyers’ choice. Priced@NRs12,50,000/(Taking offers) For Test Drive […]",,,,2016
BRAND NEW condition Skoda Rapid Rider 1.0 Tsi 2020,,"NRs 3,099,000.00",The Skoda Rapid Rider 1.0 Tsi Mt is in showroom condition. It comes with complete service history and coupons for free service. 10000 KM RUN. […],,,,2020
Nissan TIIDA JAPANESE MADE 2008,,"NRs 1,250,000.00",Nissan TIIDA JAPANESE MADE perfect sedan for the City Drive. Quality at 100%. Interior and Exterior in Mint condition. Value for Money. 2008 Year Model. […],,,,2008
Great Wall POER 2021 2.0 with 4WD only 6000 KM,,"NRs 5,950,000.00",Great Wall POER 2021 2.0 with 4WD only 6000 KM. This New Pickup Truck From GWM (Great Wall Motors) POER is a Game Changer. This […],,,,2021
Single Owner Zen Estilo 2010 Vxi like New,,"NRs 1,150,000.00","Single owner Maruti Suzuki ZEN 2010 VXI, Full option VXI variant in an excellent driving condition. In original factory condition. Nothing to spend on. Comes […]",,,,2010
Volkswagen Vento Highline 2011 Automatic Gear with only 35000 KM,,"NRs 2,350,000.00","Luxurious German quality, Excellent condition Auto Gear/Automatic Transmission Volkswagen Vento Highline(TopModel) 2011 in super immaculate condition. Free from accidents and any issues, newly polished and […]",,,,2011
New Shape Xcent SX 2017 with only 11000 KM,,"NRs 2,475,000.00","Hyundai Xcent SX 2017 (New Shape), with full Hyundai service history and all original metallic factory paint. Single owner with only 11000 KM and condition […]",,,,2017
Nissan Sunny Supersaloon 2015 Full Option,,"NRs 2,150,000.00",Nissan Supersaloon Luxury family sedan full option in quality condition. A true example of luxury at its best. * Year of manufacturer 2015. * Top […],,,,2015
VOLKSWAGEN 2019 HIGH LINE 1600cc Excellent driving condition,,"NRs 2,875,000.00",Excellent condition Volkswagen Polo High-line 2019 Fully Loaded variant in condition good as new. Fully inspected and quality fully assured. Tidy interiors and no scratches […],,,,2019
MARUTI SUZUKI Alto LXI 2016 Single Owner,,"NRs 1,450,000.00","The Alto LXI 2016 is in immaculate condition with just one owner and NO expenses. Equipped with Power Steering, A/C, Front Power windows, Audio system, […]",,,,2016
Volkswagen Cross Polo 1.6 Highline 2015 SINGLE OWNER Low Run 18k Only,,"NRs 2,399,000.00","Volkswagen Cross Polo 1.6cc 2015 High-line(Top Model) Two OWNERs in Excellent condition, with a minimal running of 18000 KM only, with a full-service history. Free […]",,,,2015
Ford Ecosport 2019  Turbo FULL OPTION TREND AIRBAGS AND STEERING CTRL Full Service history,,"NRs 3,499,000.00",BRAND NEW CONDITION FORD ECOSPORTS 2019 FULL OPTION(TREND OPTION TURBO TDCI) with Touch screen display. In near Brand new condition(Only minor Scratches) in All original […],,,,2019
Hyundai Getz 2009 full option Immaculate condition,,"NRs 1,150,000.00","Excellent quality Hyundai Getz 2009 full option, in immaculate factory condition. A quality purchase, free from accidents and problems. Fully service and newly polished. Priced […]",,,,2009
Hyundai Verna 2017 VTVT Automatic Transmission,,"NRs 3,850,000.00","Hyundai Verna 1.6 VTVT 2017 Automatic Transmission. Newly polished and serviced, fully inspected vehicle. Comes loaded with Dual airbags, Climate control and many more options […]",,,,2017
Kia Picanto 2008 Low Km Single Owner,,"NRs 1,100,000.00","Single Owner Kia Picanto with Low Kms is here for you with full Kia Service history. A problem-free vehicle, Newly Polished and Serviced. Priced@11,00,000/-(Taking Offers) […]",,,,2008
Kia Rio Hatchback With Sunroof 2008,,"NRs 1,275,000.00","Excellent condition Kia Rio 2008 Full Option, free from problems and accident’s. Fully checked and inspected by our engineers. Drives in excellent condition. Priced@NRs12,75,000/-(Taking Offers) […]",,,,2008
"JAPANESE GRAND VITARA 4X4 FULLY LOADED WITH AirBags, ABS, Steering Ctrls",,"NRs 2,025,000.00","Quality Japanese OFF roader SUZUKI Grand Vitara 4WD. Loaded with an aftermarket Multimedia system, custom-fitted leather seats. Freshly painted and polished to original condition. This […]",,,,0
Kia Sportage GT-Line AWD Top Trim Auto,,"NRs 6,900,000.00",Kia Sportage GT-Line AWD Full option Auto transmission model with Pedal shifter and JBL premium audio system. Highlights * Minimal running- Full-service history. * Auto […],,,,0
BRAND NEW condition Skoda Rapid Rider 1.0 Tsi Mt with Service History,,"NRs 3,099,000.00",The Skoda Rapid Rider 1.0 Tsi Mt is in showroom condition. It comes with complete service history and coupons for free service. 7000K KM RUN. […],,,,0
Fully Loaded 2019 Nissan Kicks Xv 7000K KM  (w/full Service History),,"NRs 4,399,000.00","Nearly brand new in condition with only 8000 kilometres driven (plus-) Dressed in Metallic silver, in truly original condition that you wouldn’t want to miss. […]",,,,2019
Single Owner Volkswagen POLO HighLine immaculate condition,,"NRs 2,075,000.00","The Volkswagen Polo High-line(Top Model) 2013 is in excellent condition with full options (Steering Controls, Bluetooth, ABS, Alloy wheels). Newly polished, clean interiors with no […]",,,,0
Single Owner HYUNDAI EON 2013 Full Service History Immaculate condition,,"NRs 1,275,000.00","Hyundai Eon Era+ 2013 is in excellent condition, free from accidents and problems. Viewing is highly recommended. Single Owner and free from accidents and problems […]",,,,2013
Single Owner HYUNDAI GRAND I10 ASTA ‘O’ Full Pack Edition Only 12k km Run Untouched spare wheel,,"NRs 2,450,000.00",Single Owner Hyundai Grand i10 ASTA’O’ 2016 13k Run ONLY (With Hyundai Service Records) in excellent condition. This Sporty hatchback is a Fully Loaded Edition […],,,,0
BRAND NEW condition Hyundai Creta 360 Camera Upgraded  2020 4000k Run,,"NRs 4,950,000.00","Brand New Condition Hyundai’s flagship The Creta, with Dual airbags and climate ctrl bought abt 3 months ago. Comes loaded with FULL accessories available in […]",,,,2020
Hyundai Tucson GL 2011 Diesel in wow condition,,"NRs 3,799,000.00",Super Excellent Condition Hyundai Tucson GL 2011 in its Original glory. (Comes with full Hyundai Service History and Guaranteed Original Km run). No Accidents and […],,,,2011
Hyundai Xcent Single Owner Full Serivce History Immaculate Condition,,"NRs 1,975,000.00","Hyundai X-cent 2014, with full Hyundai service history and all original metallic factory paint(Minor Touchup only). * Single owner and condition fully assured. * Full […]",,,,0
HONDA CIVIC Fully Loaded Manual Transmisson Japanese Immaculate condition Don’t Miss,,"NRs 1,750,000.00","In quality condition, Honda Civic 2007 is fully loaded with Sunroof, Climate ctrl, Steering Ctrl. This civic has been customed to sporty leather seats, very […]",,,,0
VOLKSWAGEN POLO GT TSI Automatic Immaculate condition,,"NRs 2,500,000.00",Volkswagen Special Edition Highline GT TSI 2013 Auto Gear with DSG Gear Box. Full-Service history will be Provided. One Quality defining POLO with amazing power […],,,,0
MARUTI CARGO 2013 Immaculate condition Single Owner,,"NRs 600,000.00","CARGO VAN 2013, IN IMMACULATE CONDITION. Previously used in Minor lightweight food suppliers, carrying only lightweights. No damages at all. Looks and drives are just […]",,,,2013
HYUNDAI SANTRO 2009 GLS Single Owner,,"NRs 1,299,000.00",Single Owner Hyundai Santro GLs plus 2009 in much looked after condition. (Full-Service History) Quality and inspection fully carried out. Free from accidents and problems. […],,,,2009
HYUNDAI GRAND I10 ASTA ‘O’ Full Pack Edition with FS/H IMMACULATE,,"NRs 2,075,000.00","Hyundai Grand i10 ASTA’O’ (With Hyundai Service Records) in excellent condition. This Sporty hatchback is a Fully Loaded Edition with a Keyless Push Start, Genuine […]",,,,0
Ford Ecosport 2018 8000Km Run FULL OPTION TREND AIRBAGS AND STEERING CTRL Full Service history,,"NRs 3,399,000.00",BRAND NEW CONDITION FORD ECOSPORTS 2018 FULL OPTION(TREND OPTION) with Touch screen display. In Brand new spotless condition with minimal running of only 8000k(Showroom warranty […],,,,2018
CHEVROLET Spark Full Option In Good condition,,"NRs 799,000.00","Excellent condition CHEVROLET SPARK 2009, comes fully loaded with all 4 Power windows, Power Steering,A/C, Semi Leather seats(Custom fitted plus many more. This Vehicle is […]",,,,0
HYUNDAI VERNA SX  2014  IMMACULATE CONDITION FULL SERVICE,,"NRs 2,600,000.00","Single Owner, Hyundai VERNA SX+(FULL OPTION) in immaculate condition,(Includes full-service history). Newly polished and serviced, fully inspected vehicle. Great value for Bargain Hunter. Over 30% […]",,,,2014
HYUNDAI I20 ACTIVE ‘S’ Full Option 2016 In Good condition,,"NRs 2,950,000.00",Hyundai I20 Active ‘S’2016 Asta in excellent condition. 190mm ground clearance of this quality cross-over CUV is ideal for Nepal’s challenging roads. Safety features include […],,,,2016
New Nissan Magnite Xv Premium 2021 (BRAND NEW DEAL),,"NRs 4,250,000.00",NEW NISSAN 2021 MAGNITE XV PERFORMANCE MONO TURBO Run 1400 kilometers New bill and warranty included. PRICE INFORMATION BELOW * Price when new -> MRP […],,,,2021
TATA TIAGO NRG CUV 2019 Brand new condition 2019,,"NRs 2,350,000.00","TATA TIAGO NRG Cuv, in near brand new condition 2019. with minimal running of only 8000km. In near brand new condition, NRG, Cross over CUV, […]",,,,2019
TOYOTA Echo (Yaris) ex-Diplomat Immaculate condition Immaculate condition,,"NRs 875,000.00","In immaculate condition, this Japanese-built TOYOTA ECHO(also known as the Toyota Yaris in some countries). Formerly owned by the Japanese Embassy in Kathmandu, the vehicle […]",,,,0
FORD FIGO 2016 with AirBags EXCELLENT CONDITION,,"NRs 1,775,000.00","Ford Figo 2016 Ambient(Comes with Ford Service records) with Dual airBags, in Excellent condition. SINGLE OWNER, WITH DUAL AIRBAGS, in immaculate condition. A well-maintained Hatchback […]",,,,2016
MARUTI SUZUKI SWIFT ZXi 2014 Single Owner Immaculate condition,,"NRs 2,200,000.00","Buy with warranty. Maruti Suzuki Swift Zxi in all original condition. It has a single owner and a full Suzuki service history. In original paint, […]",,,,2014
MITSUBUSHI PAJERO Exceed FULLY LOADED Automatic Immaculate condition,,"NRs 11,500,000.00","Exquisite condition Mitsubishi PAJERO Exceed 2013 (SunRoof, Super Select 4WD(Latest Shape), in Beautiful Metallic Pearl white, the ultimate head-turner(Executive class). This Quality SUV is a […]",,,,0
Volkswagen POLO Highline 1.6Cc 2016 Excellent Condition,,"NRs 2,599,000.00","A Quality German Brand Volkswagen POLO Highline (Full Option) 2016, in Near New Condition. Ultimate class-defining Sporty vehicle. In pristine condition, this is a class-defining […]",,,,2016
MAHINDAR BOLERO Pik UP Double cabin 4WD and PowerSteering,,"NRs 1,850,000.00",A showroom description of the model is given below. The model comes with a powerful and fuel-efficient Mahindra DI diesel engine with a long life. […],,,,0
NEW Kia Seltos HTX IVT Fully Loaded 2021 AUTOMATIC P- SUNROOF,,"NRs 5,990,000.00",BRAND NEW Kia Seltos HTx+ IVT Automatic with Leather interior and Panoramic sunroof(FULLY LOADED TOP MODEL) This Brand new beauty is a fully loaded top […],,,,2021
Hyundai Eon Era+ 2013 in Excellent COndition,,"NRs 1,250,000.00","Hyundai Eon Era+ 2013 in excellent condition, free from accidents and problems. Viewing is highly recommended. Priced@NRs12,50,000/-(Taking near offers) Visit www.ktmcarsales.com For Test Drive and […]",,,,2013
LIMITED EDITION (Skoda Rapid Monte Carlo) 1.6 MPI MT SINGLE OWNER,,"NRs 3,550,000.00","A Real head-turner–>(LIMITED EDITION “Monte Carlo Edition”) SKODA RAPID STYLE Plus 2020 in immaculate condition. Comes loaded with (Cruise ctrl, OEM Reverse camera, AirBags, ABs, […]",,,,0
Volkswagen Cross Polo 2015 Excellent Condition,,"NRs 2,399,000.00","Volkswagen Cross Polo 1.6cc 2015 High-line(Top Model) excellent condition, with genuine running, comes with Volkswagen full-service history. This Vehicle is almost good as a new […]",,,,2015
MARUTI SUZUKI Swift Dzire 2013 ZXI Single Owner Immaculate condition,,"NRs 2,125,000.00","SINGLE OWNER SUZUKI SWIFT DZIRE ZXI 2013 A pristine condition, Suzuki Swift DZIRE ZXI 2013 (Equipped with Dual AirBags, Climate Ctrl). A family-safe car with […]",,,,2013
Nissan SuperSaloon  AUTOMATIC In Immaculate condition 2004,,"NRs 1,299,000.00","AUTOMATIC TRANSMISSION, NISSAN Super Saloon Japanese built (Later Shape). Executive class quality vehicle. Free from scratches and problems, Fully Tested and Inspected. A Much looked […]",,,,2004
MARUTI SUZUKI Alto LXI 2016 Single Owner,,"NRs 1,450,000.00","The Alto LXI 2016 is in immaculate condition with just one owner and NO expenses. Equipped with Power Steering, A/C, Front Power windows, Audio system, […]",,,,2016
MAHINDRA SCORPIO 4WD 2.6cc Full Option Non AirBag,,"NRs 1,750,000.00",Mahindra Scorpio 2002 single hand in superb condition. The Most demanding SUV in the Market with excellent resale value. * Loaded with off-roading tires. * […],,,,0
Excellent Condition Chevrolet AVEO UVA LS 2009,,"NRs 1,025,000.00","Chevrolet AVEO UVA 2009 LS in immaculate condition. Affordable and value for money without the Hefty price tag, In condition good as new. WITH ONLY […]",,,,2009
MARUTI SUZUKI SWIFT ZXI Push button start Immaculate condition,,"NRs 2,450,000.00","Immaculate Suzuki Swift ZXI 2016 Model in immaculate condition. Genuine Low Run quality vehicle. Options include Bluetooth, Steering Ctrls, Fog lamps, ZXI Alloys. This Vehicle […]",,,,0
HYUNDAI TUCSON 2008 SINGLE OWNER 4WD  in Immaculate condition,,"NRs 2,399,000.00","Single Owner HYUNDAI Tucson 2008(GL)4wd in Dual-tone (Grey and Metallic Silver). Free from scratches and problems, fully Tested and Inspected. In original paint condition, tidy […]",,,,2008
Ford Figo 2013 ZXI Excellent condition,,"NRs 1,350,000.00",Single Owner Ford Figo 2013 ZXI in excellent condition. This Vehicle is free from accidents and scratches. Newly refurbished to Brand new condition. Very tidy […],,,,2013
DATSUN READY GO 1000cc with Airbag Excellent condition,,"NRs 1,450,000.00","Nissan Datsun Ready-go 2018 free from accidents and problems. Economical cheap City Run around Vehicle without the price tag. Ideal first-time buyers’ choice. Priced@NRs14,50,000/(Taking offers) […]",,,,0
German Built Volkswagen Tiguan HIGH-LINE(TOP MODEL)24000 Km 2.0 TSI,,"NRs 6,200,000.00","German-built, Volkswagen Tiguan 2013 4-Motion(AWD)FULLY LOADED-HIGH-LINE(Panoramic Roof, Leather packed, Heated/Cooling Seats,8 AirBags, Electric Seats)DSG Automatic transmission. All Orginal Condition. Only one Previous owner low Run(24k=FullService […]",,,,0
BRAND NEW MAHINDRA SCORPIO 2019 S5 4WD(UNDER COMPANY WARRANTY),,"NRs 5,125,000.00","Brand New Condition Mahindra Scorpio 4WD 2019 S5, Selling on behalf of a customer, So GRAB A BRAGIN PRICE NOW!! PRICED NOW!!NRs51,25,000/- PLUS ACCESSORIES WORTH […]",,,,2019
HYUNDAI GRAND I10 MAGNA 2015 Full Serivce History LOW Run,,"NRs 2,075,000.00","Hyundai Grand i10 Magna(with only two previous owners)2015 Free from accidents and problems, in immaculate condition. A Much looked after vehicle by its previous owners. […]",,,,2015
BRAND NEW FORD FREESTYLE 2019 Titanium PLUS 11K  with 360 Camera (OFFERS Wellcome),,"NRs 2,925,000.00",Ford Figo Freestyle 2019 Titanium with Push-button start in super excellent condition. Intact in almost all Original paint conditions. A perfect Suv look-alike CUV vehicle […],,,,2019
HYUNDAI VERNA SX  2014 Run FULL SERVICE,,"NRs 2,699,000.00","Single Owner, Hyundai VERNA SX+(FULL OPTION) in immaculate condition,(Includes full-service history). Newly polished and serviced, fully inspected vehicle. Great value for Bargain Hunter. Over 30% […]",,,,2014
Maruti Suzuki Celerio 2014 AUTOMATIC DRIVE,,"NRs 17,250,000.00","Maruti Suzuki in Auto transmission 2014 VXI in immaculate condition with no expenses spared. Fully refurbished to original condition. Problem-free and accident-free. Priced@17,25,000/-(Taking Near offers) […]",,,,2014
SKODA RAPID 1.6 ELEGANCE Plus (FULL LOADED) AUTOMATIC TRANSMISSION,,"NRs 2,825,000.00","German quality, Singly driven, SKODA RAPID, PREMIUM Black Edition. –> The Elegant Plus 2015. Auto/Manual(DSG)transmission in Impeccable condition. Includes Full Skoda Service History. Features:- Auto/Manual […]",,,,0
HYUNDAI i20 Elite Magna in Original condition. LOW LOW RUN Full Hyundai Service History,,"NRs 2,625,000.00","HYUNDAI I20 ELITE MAGNA 2016, with dual Airbags, includes Full Hyundai History. Single Owner Sporty, immaculate condition dressed in beautiful Metallic Red. In Pristinely kept […]",,,,0
Honda Cr-V New Shape Automatic AWD RVSI Impeccable Condition (Japanese Built) 2015 Reg,,"NRs 6,900,000.00","HONDA Cr-V 4WD Fully Loaded(Sunroof, Premium Leather package) facelift model 2015 Registration(2014 MDF), in impeccable condition (Japanese built). Award-winning, Honda CR-V has the highest standards […]",,,,2015
Nissan Sunny Supersaloon 2008 Airbags Abs Japanese Built,,"NRs 1,525,000.00","Nissan Sunny Supersaloon 2008 in immaculate condition, free from accidents and problems. Japanese-built quality luxury sedan, excellent buy for quality hunters. Not To Miss. Viewing […]",,,,2008
FORD FIGO Single Owner Excellent condition 2013 Titanium,,"NRs 1,450,000.00","Single-Handed Ford Figo 2013 Full Option (Titanium) in Excellent condition. Comes with Steering Mounted Control, Dual Airbags, ABS, Bluetooth, Alloys wheels, Unused Spare tyre. Full-Service […]",,,,2013
Single Owner Toyota ETIOS CROSS 2015 Excellent condition,,"NRs 2,399,000.00","Toyota ETIOS-CROSS V-GRADE 2015 UPGRADED SPORTY VARIANT. One careful previous owner only, a real head turner you wouldn’t want to miss.  Viewing is highly recommended. […]",,,,2015
Maruti Suzuki Wagon R 2015 Full Suzuki Service History,,"NRs 1,650,000.00","Maruti Suzuki Wagon-R 2015 VXI, Fully option VXI variant in an excellent driving condition. COMES WITH FULL SUZUKI SERVICE HISTORY. No Visible visible wear and […]",,,,2015
"MARUTI SUZUKI SWIFT VXI, Single Owner A one condition",,"NRs 1,099,000.00","Single Owner Maruti Suzuki Swift Vxi 2005/6 free from accidents or problems. Recently refurbished to near new condition. No Scratches, Accident-Free, Problem Free. Much looked […]",,,,0
Ford Ecosport Titanium 2016 FULL SERVICE HISTORY,,"NRs 2,825,000.00","Single Owner Ford Ecosport 2016 Titanium 2016, full option with powerful turbo-powered engine. Intact in full original company condition. Excellent mileage comes with dual airbags, […]",,,,2016
Suzuki Alto K10 VXI with Full Service history,,"NRs 1,150,000.00","Single Owner, Suzuki Alto K10 VXI (With A/c, Power Steering and Power windows) 2011 in Immaculate condition. Free from accidents and problems, Excellent Re-sell value. […]",,,,0
Hyundai Creta 2019 Automatic Transmission SX ‘O’ with SunRoof Low Run Full History,,"NRs 5,500,000.00","Immaculate condition Hyundai’s flagship The Creta, Sx ‘O’ 2019 with SunRoof(Fully Loaded SUV Automatic transmission)  Comes with Airbags, ABs, Audio mounted controls, 17 inch Diamond […]",,,,2019
HYUNDAI I10 MAGNA 1.2 kappa Excellent condition,,"NRs 1,299,000.00","HYUNDAI I10 MAGNA 2008 in immaculate condition, free from problems or any kind of accidents. Fully Serviced and Refurbished to original condition. Includes All new […]",,,,0
HYUNDAI i20 Elite Magna in Original condition. Full Hyundai Service History,,"NRs 2,399,000.00","HYUNDAI I20 ELITE MAGNA, Single Owner and in immaculate condition, in Sporty Metallic Grey Color. In Pristinely kept Brand New Condition, Over 20% of the […]",,,,0
Hyundai Creta AUTOMATIC SX ‘O” Wheels IMMACULATE CONDITION FULL SERVICE HISTORY,,"NRs 4,450,000.00","HYUNDAI CRETA SX ‘O’ Automatic Transmission 2016 in immaculate condition. Single Owner, Low run, and comes with Full Hyundai service history. Fully Loaded SX+ SX(O) […]",,,,0
Maruti Suzuki Swift Vxi Immaculate Condition Low Run,,"NRs 1,900,000.00","Maruti Suzuki Swift VXI 2013 Model in immaculate condition. Minimal running and in original condition, Low Run quality vehicle. Additional options include 9-inch Android multimedia, […]",,,,0
MARUTI SUZUKI DZIRE 2009 in Immaculate condition,,"NRs 1,325,000.00","Excellent condition Maruti Suzuki Swift Dzire 2009 in immaculate condition, fully serviced and condition fully assured. This Vehicle is converted to VXI Grade with after-market […]",,,,2009
MARUTI SUZUKI VITARA BREZZA ZDI (Full Option) 2016 Full Service History Low Run,,"NRs 3,150,000.00",Single Owner Fully Loaded 2016 Suzuki Vitara Brezza ZDi in Immaculate Condition. Low Run and comes with full-service history from Suzuki authorized service center. Intact […],,,,2016
Ford Classic Titanium 2014 Low Run Full Service History,,"NRs 1,525,000.00","Single Owner Ford Classic Titanium 2014 (TOP MODEL) dual AirBags, ABs, in all factory original paint condition. Cheap and reliable comfortable sedan with all the […]",,,,2014
Hyundai Creta Full Option SX + IMMACULATE CONDITION 2015 FULL SERVICE HISTORY,,"NRs 3,800,000.00","HYUNDAI CRETA SX+ FULL OPTION, in immaculate condition. Hyundai’s flagship The Creta, Sx +” Top Variant Model Free from accidents and problems. Used for only […]",,,,2015
"Maruti Suzuki ALTO 2017 LXI Single Owner, Low Run Facelift model",,"NRs 1,550,000.00","Single Owner, Maruti Suzuki Alto Lxi 2017 New Shape in immaculate condition with NO Expenses. Untouch spare wheel and completely free from accidents and problems. […]",,,,2017
Maruti Suzuki Celerio VXi 2014 Automatic Gear SIngle Hand,,"NRs 1,700,000.00",Maruti Suzuki in Auto transmission 2014 VXI in immaculate condition with no expenses spared. Full Suzuki Serivce history and condition fully assured. Problem free and […],,,,2014
Maruti Suzuki Swift VX 2015 Immaculate condition SINGLE OWNER,,"NRs 2,250,000.00","Super-excellent condition Maruti Suzuki Swift Vxi 2015. Single Owner and full suzuki service history. No Scratches, Accident-Free, Problem Free. Additional Customized Fitted alloy rims. 100% […]",,,,2015
HYUNDAI XCENT 2016 Single Owner Full Service History,,"NRs 2,199,000.00","Hyundai Xcent 2016, with full Hyundai service history and all original metallic factory paint. Single owner and condition fully assured. NOT TO MISS THE QUALITY […]",,,,2016
Kia Picanto 2008 FULL OPTION,,"NRs 1,025,000.00","Kia Picanto 2008 EX(Full Option) in Excellent condition with no expenses spared, fully refurbished with no problems. New set off wheels, Touch panel Audio panel […]",,,,2008
HYUNDAI I20 ASTA 2010 Full Option Single Owner Android Display,,"NRs 1,615,000.00","Single Owner, Excellent condition Hyundai i20 ASTA 2010 free from scratches and problems. Newly polished and touched up to remove all scratches. Quality compared to […]",,,,2010
TOYOTA HILUX 2015 ‘Full Option’ 8 AirBags/ Steering Ctrls/ Stability Control Single Owner,,"NRs 6,599,000.00","Single Owner, TOYOTA HILUX 2015 3.0cc D4D with 8-AirBags, Esc, Steering Ctrls with POWER mode option.(Comes with TOYOTA SERVICE HISTORY) In mint condition (Free from […]",,,,2015
Maruti Suzuki Baleno 2016 ‘Delta’ Immaculate condition,,"NRs 2,325,000.00","Maruti Suzuki Baleno 2016 Full Option loaded with (Dual AirBags,ABs,Telephonic Bluetooth,Climate Ctrl, Steering mounted Ctrls) Dressed in Beautiful Metallic Navy Blue, a real head turner,multi […]",,,,2016
Maruti Suzuki Wagon R 2013 VXI (Excellent condition),,"NRs 1,399,000.00","Maruti Suzuki Wagon-R 2013 VXI, Fully option VXI variant in an excellent driving condition. Fully refurbuished with minor non-visible wear and tear, Comes with a […]",,,,2013
"Toyota Corolla Lx, Single owner in amazing condition 2004",,"NRs 1,625,000.00","Single Owner Toyota Corolla LX 2004 in Original condition. Luxury family Japanese Sedan. * Very safe and reliable. * Japanese quality, in original condition. * […]",,,,2004
"Maruti Suzuki Dzire Swift 2013 Zxi with Dual AirBags, ABs, Alloys",,"NRs 2,150,000.00","Maruti Suzuki Swift DZIRE ZXI 2013 in Immaculate condition, An efficent and family safe approved car with Dual airbags, Climate Ctrls, Alloys and many more […]",,,,2013
Excellent condition Ford Ecosport 2015 Trend with Full Service history,,"NRs 2,425,000.00","Impeccable condition, Ford Ecosport 2015 in excellent condition with almost Full Original paintwork. Interiors and Exteriors are very clean and in new condition. Drives just […]",,,,2015
Hyundai Xcent SX O 2014 Brand New Condition,,"NRs 2,200,000.00",Excellent condition Hyundai Xcent ‘SX O’ mid-sized sedan in immaculate condition.This Vehicle is singly driven and well looked after by its previous owner.  Free from […],,,,2014
Swift ZXI 2012 Excellent COndition,,"NRs 1,999,999.00","Single Owner, Suzuki Swift ZXI 2012 Model in immaculate condition. Minimal running and almost original condition, Low Run quality vehicle. Option includes Steering Ctrls, Fog […]",,,,2012
Daihatsu Terios SX 2010 Immaculate Condition,,"NRs 3,400,000.00","Daihatsu Terios SX 2010, the only Japanese 4WD power performance with in a reasonable price range. It Includes Dual Airbags, ABS, Projected Headlamp, Alloy Wheels, […]",,,,2010
Ford EcoSport Titanium 2013 Single Owner,,"NRs 2,525,000.00","Single-Handed Ford Ecosport fully loaded 2013. Full pack Titanium Edition (Dual Airbags, Abs, alloy wheels, Auto A/C and many more. COMES in beautiful white colour. […]",,,,2013
Hyundai Grand i10 Magna 2015 Single Owner,,"NRs 2,125,000.00","Hyundai Grand i10 Magna single owner 2015 Free from accidents and problems,in immaculate condition. A Much looked after vehicle by its previous owners. * Quality […]",,,,2015
