Model,Fuel Type,Price,Description,Kilometers Driven,Model Year,Brand,Year
2015 Hyundai I20,Automatic,"NRP2,399,000.00",,,,,2015
2008 Hyundai I10,Automatic,"NRP1,299,000.00",,,,,2008
2016 Hyundai Creta Sx,Automatic,"NRP5,500,000.00",,,,,2016
2016 Hyundai I20,Automatic,"NRP2,625,000.00",,,,,2016
2014 Hyundai Verna,Automatic,"NRP2,699,000.00",,,,,2014
2015 Hyundai Grand,Automatic,"NRP2,075,000.00",,,,,2015
2008 Hyundai Tucson,Automatic,"NRP2,399,000.00",,,,,2008
2015 Toyota Etios,Automatic,"NRP2,399,000.00",,,,,2015
2002 Nissan X Trail,Automatic,"NRP1,999,000.00",,,,,2002
2017 Nissan Micra,Automatic,"NRP2,199,000.00",,,,,2017
2008 Nissan Sunny,Automatic,"NRP1,525,000.00",,,,,2008
2008 Nissan Sunny,Automatic,"NRP1,525,000.00",,,,,2008
2004 Nissan Super Saloon,Automatic,"NRP1,299,000.00",,,,,2004
2021 Nissan Magnite Xe,Automatic,"NRP4,250,000.00",,,,,2021
2018 Skoda Rapid,Automatic,"NRP3,550,000.00",,,,,2018
2016 Chevrolet Aveo,Automatic,"NRP1,025,000.00",,,,,2016
2009 Chevrolet Spark,Automatic,"NRP799,000.00",,,,,2009
2014 Skoda Rapid,Automatic,"NRP2,299,000.00",,,,,2014
2015 Skoda Rapid,Automatic,"NRP2,825,000.00",,,,,2015
2018 Skoda Rapid,Automatic,"NRP3,550,000.00",,,,,2018
2020 Skoda Rapid,Automatic,"NRP3,099,000.00",,,,,2020
2020 Skoda Rapid,Automatic,"NRP3,090,000.00",,,,,2020
2014 Skoda Rapid,Automatic,"NRP2,150,000.00",,,,,2014
2009 Skoda Fabia,Automatic,"NRP1,400,000.00",,,,,2009
2011 Skoda Laura,Automatic,"NRP2,650,000.00",,,,,2011
2020 Skoda Rapid,Automatic,"NRP2,750,000.00",,,,,2020
2016 Skoda Rapid,Automatic,"NRP2,250,000.00",,,,,2016
2022 Skoda Kushaq 10 Tsi Ambition,Automatic,"NRP6,190,000.00",,,,,2022
2012 Skoda Fabia,Automatic,"NRP1,425,000.00",,,,,2012
2020 Skoda Rapid,Automatic,"NRP2,425,000.00",,,,,2020
2015 Skoda Rapid,Automatic,"NRP2,099,000.00",,,,,2015
2015 Suzuki Swift,Automatic,"NRP2,100,000.00",,,,,2015
2014 Suzuki Swift,Automatic,"NRP1,975,000.00",,,,,2014
2016 Suzuki Maruti Suzuki Baleno,Automatic,"NRP2,250,000.00",,,,,2016
2014 Suzuki Swift,Automatic,"NRP2,190,000.00",,,,,2014
2008 Suzuki Swift,Automatic,"NRP1,275,000.00",,,,,2008
2016 Suzuki Maruti Suzuki Baleno,Automatic,"NRP2,150,000.00",,,,,2016
2011 Tata Tiago,Automatic,"NRP2,350,000.00",,,,,2011
2010 Daihatsu Terios,Automatic,"NRP3,400,000.00",,,,,2010
2007 Daihatsu Sirion,Automatic,"NRP850,000.00",,,,,2007
2008 Daihatsu Terios,Automatic,"NRP2,950,000.00",,,,,2008
2015 Daihatsu Terios,Automatic,"NRP4,600,000.00",,,,,2015
2010 Toyota Fortuner,Tiptronic,"NRP5,800,000.00",,,,,2010
2013 Toyota Etios,Automatic,"NRP1,850,000.00",,,,,2013
2016 Renault Duster Rxz,Automatic,"NRP3,600,000.00",,,,,2016
2017 Renault Kwid,Automatic,"NRP1,675,000.00",,,,,2017
2017 Renault Kwid,Automatic,"NRP1,450,000.00",,,,,2017
2018 Renault Duster Rxz,Automatic,"NRP2,750,000.00",,,,,2018
2017 Renault Kwid,Automatic,"NRP1,425,000.00",,,,,2017
2011 Mitsubishi Asx,Automatic,"NRP5,299,000.00",,,,,2011
2013 Mitsubishi Pajero Evolution,Automatic,"NRP11,500,000.00",,,,,2013
2016 Mitsubishi Outlander,Automatic,"NRP7,800,000.00",,,,,2016
2016 Mitsubishi Outlander,Automatic,"NRP6,500,000.00",,,,,2016
2019 Mahindra Scorpio,Automatic,"NRP4,750,000.00",,,,,2019
2019 Mahindra Scorpio,Automatic,"NRP3,999,000.00",,,,,2019
2019 Mahindra Scorpio,Automatic,"NRP5,125,000.00",,,,,2019
2002 Mahindra Scorpio,Automatic,"NRP1,750,000.00",,,,,2002
2015 Mahindra Bolero,Manual,"NRP1,850,000.00",,,,,2015
2016 Mahindra Scorpio,Automatic,"NRP2,850,000.00",,,,,2016
2020 Mahindra Bolero,Automatic,"NRP2,650,000.00",,,,,2020
2018 Mahindra Scorpio,Automatic,"NRP4,490,000.00",,,,,2018
2002 Mahindra Scorpio,Automatic,"NRP1,499,000.00",,,,,2002
2017 Hyundai Active S,Automatic,"NRP2,950,000.00",,,,,2017
2014 Hyundai I10,Automatic,"NRP1,975,000.00",,,,,2014
2006 Hyundai Getz,Automatic,"NRP925,000.00",,,,,2006
2018 Hyundai Creta Sx,Automatic,"NRP4,950,000.00",,,,,2018
2013 Hyundai I10,Automatic,"NRP2,150,000.00",,,,,2013
2015 Hyundai Eon Magna,Automatic,"NRP1,475,000.00",,,,,2015
2015 Hyundai I10,Automatic,"NRP2,325,000.00",,,,,2015
2014 Hyundai Verna,Automatic,"NRP2,450,000.00",,,,,2014
2019 Hyundai Kona 2019 Long Range,Automatic,"NRP5,650,000.00",,,,,2019
2009 Hyundai Getz,Automatic,"NRP1,150,000.00",,,,,2009
2015 Volkswagen Polo,Automatic,"NRP2,550,000.00",,,,,2015
2011 Volkswagen Polo,Automatic,"NRP1,650,000.00",,,,,2011
2015 Volkswagen Jetta,Automatic,"NRP4,100,000.00",,,,,2015
2017 Volkswagen Polo,Automatic,"NRP2,799,000.00",,,,,2017
2013 Volkswagen Polo,Automatic,"NRP2,075,000.00",,,,,2013
